,0
0,0.09578978369514957
1,0.10063824945405317
2,0.10380345056669152
3,0.09256515605120055
4,0.0990330115267237
5,0.09301795635948401
6,0.09670592818096208
7,0.11223862953565195
8,0.11235658291713535
9,0.11235658291713535
10,0.1048465918812426
11,0.11533420188856797
12,0.12118905789981971
13,0.1179262576934243
14,0.08710689796845456
15,0.10270387259655375
16,0.09687321593699721
17,0.09055122948291117
18,0.09657838716748351
19,0.09121493728257882
20,0.09502786840078195
21,0.09653188507072913
22,0.10129980610208397
23,0.10139179068533088
24,0.09945582303989972
25,0.10137185357554959
26,0.10121714635433912
27,0.10545792078076915
28,0.11223862953565195
29,0.11223862953565195
30,0.112213542401222
31,0.11223862953565195
32,0.11549699267353444
33,0.12145568494348707
34,0.11576664315621768
35,0.0943383337240575
36,0.10270387259655375
37,0.09629707963423048
38,0.0943383337240575
39,0.09629707963423048
40,0.09286324760084055
41,0.09634817532628376
42,0.10106519939032205
43,0.10103929862007568
44,0.10103929862007568
45,0.09425474696189737
46,0.1042579625062037
47,0.1016657798635851
48,0.10944261851653517
49,0.11223862953565195
50,0.11235658291713535
51,0.112213542401222
52,0.11223862953565195
53,0.112213542401222
54,0.11223862953565195
55,0.112213542401222
56,0.08605846761836858
57,0.10270387259655375
58,0.10529812791642007
59,0.08605846761836858
60,0.10529812791642007
61,0.08605846761836858
62,0.10529812791642007
63,0.09121778910389094
64,0.09411193492445857
65,0.09411193492445863
66,0.0954605630973914
67,0.08871622448918975
68,0.08715114804790688
69,0.09930585847570739
70,0.10816819530357019
71,0.1097104766828772
72,0.10420594219173451
73,0.11872072029287303
74,0.10636518394663844
75,0.1118505333584231
76,0.10973367167426623
77,0.08457621539476215
78,0.08276902417079943
79,0.0846651765897169
80,0.08601237966408734
81,0.08461085938470153
82,0.08601641572152721
83,0.0876405163955685
84,0.09134297118060006
85,0.08992615209991928
86,0.08992615209991928
87,0.09692802469760411
88,0.08865418627612054
89,0.0889573290042712
90,0.09019863493033581
91,0.11386149136712828
92,0.10507793246941988
93,0.1037436000158028
94,0.11110652058222928
95,0.09975662973738539
96,0.11264064527484319
97,0.10678531241944259
98,0.08041187113608872
99,0.08281258127280189
100,0.08454713634060276
101,0.08043360420289172
102,0.08454713634060276
103,0.08161045153500007
104,0.08586391069791849
105,0.08990763102432556
106,0.09119248134390259
107,0.0912142698706869
108,0.09256244724761287
109,0.0885671567919191
110,0.09144111430419813
111,0.08736810760721964
112,0.10652797138661085
113,0.10501632703133881
114,0.10652797138661085
115,0.10501632703133881
116,0.10670252293526214
117,0.10373541635269395
118,0.11250388926882227
119,0.08398693788231495
120,0.08281258127280189
121,0.08724880090459905
122,0.08398693788231495
123,0.08724880090459905
124,0.08398693788231495
125,0.08868391867355083
126,0.15693527571245527
127,0.1607044554033605
128,0.16230642076363244
129,0.15465905553339784
130,0.16328837206241337
131,0.15297430944939502
132,0.15447675273482586
133,0.1587512377480807
134,0.16187973405805256
135,0.1587512377480807
136,0.16187973405805256
137,0.1587512377480807
138,0.16978204896591367
139,0.16086895374247706
140,0.15374931910619405
141,0.1615958697246081
142,0.15730982318327488
143,0.15259362263257004
144,0.15730982318327488
145,0.15092728590383367
146,0.15708202407268038
147,0.154863057818013
148,0.16064721831314535
149,0.16205830775699906
150,0.15944081033857577
151,0.16485356791321856
152,0.15377236026538968
153,0.17037280385295042
154,0.16331951787552387
155,0.16187973405805256
156,0.15997719678800562
157,0.15988098852541366
158,0.16701679148627685
159,0.16139414646283962
160,0.1587512377480807
161,0.15415965204537097
162,0.160244985224026
163,0.17325974278138143
164,0.15415965204537097
165,0.17325974278138143
166,0.15534235485948786
167,0.17468517118008867
168,0.15914477206103134
169,0.16275440014970646
170,0.162789076686686
171,0.16631148550814792
172,0.16271326386195784
173,0.16871315266979994
174,0.17042156074130052
175,0.16025145197561355
176,0.16187973405805256
177,0.15988098852541366
178,0.15825270644297465
179,0.16005057090796027
180,0.16025145197561355
181,0.16019266261087386
182,0.1617225770276141
183,0.160244985224026
184,0.17218444905783284
185,0.1617225770276141
186,0.17218444905783284
187,0.16286543242930895
188,0.17218444905783284
189,-0.006819097391693729
190,-0.007274263226962119
191,-0.006912552155500573
192,-0.006749344760049014
193,-0.00740583233726172
194,-0.007100229291646776
195,-0.007198008219136298
196,0.1316358437642188
